COURSECODE,COURSENAME,COURSENAMEENG,CREDITMIN,CREDITMAX,CREDITTOTAL
SC319931,ระบบฐานข้อมูล,DATABASE SYSTEMS,3,3,3
SC319932,วิธีวิทยาซอฟต์แวร์,SOFTWARE METHODOLOGY,3,3,3
SC319933,การออกแบบเชิงวัตถุ,OBJECT-ORIENTED DESIGN,3,3,3
SC319934,การจัดการโครงการซอฟต์แวร์ขนาดใหญ่,LARGE SCALE SOFTWARE PROJECT MANAGEMENT,3,3,3
SC319941,การจัดระบบคอมพิวเตอร์,COMPUTER SYSTEM ORGANIZATION,3,3,3
SC319942,เครือข่ายคอมพิวเตอร์,COMPUTER NETWORKS,3,3,3
SC319943,การออกแบบระบบดิจิทัลที่ทนต่อความผิดพร่อง,DESIGN OF FAULT-TOLERANT DIGITAL SYSTEMS,3,3,3
SC319994,สัมมนาดุษฎีนิพนธ์ 4,DISSERTATION SEMINAR IV,1,1,1
SC319944,การวิเคราะห์ระบบคอมพิวเตอร์,COMPUTER SYSTEM ANALYSIS,3,3,3
SC319945,ระบบคอมพิวเตอร์แบบกระจาย,DISTRIBUTED COMPUTER SYSTEMS,3,3,3
SC319946,ขั้นตอนวิธีเชิงตัวเลขแบบขนาน,PARALLEL NUMERICAL ALGORITHMS,3,3,3
SC319951,กระบวนทัศน์ปัญญาประดิษฐ์,PARADIGMS OF ARTIFICIAL INTELLIGENCE,3,3,3
SC319971,หัวข้อพิเศษทางวิทยาการคอมพิวเตอร์ 1,SPECIAL TOPICS IN COMPUTER SCIENCE I,3,3,3
SC319972,หัวข้อพิเศษทางวิทยาการคอมพิวเตอร์ 2,SPECIAL TOPICS IN COMPUTER SCIENCE II,3,3,3
SC319973,หัวข้อพิเศษทางวิทยาการคอมพิวเตอร์ 3,SPECIAL TOPICS IN COMPUTER SCIENCE III,3,3,3
SC319974,หัวข้อพิเศษทางวิทยาการคอมพิวเตอร์ 4,SPECIAL TOPICS IN COMPUTER SCIENCE IV,3,3,3
SC319975,หัวข้อพิเศษทางวิทยาการคอมพิวเตอร์ 5,SPECIAL TOPICS IN COMPUTER SCIENCE V,3,3,3
SC319981,ระเบียบวิธีวิจัย,RESEARCH METHODOLOGY,2,2,2
SC319991,สัมมนาดุษฎีนิพนธ์ 1,DISSERTATION SEMINAR I,1,1,1
SC319992,สัมมนาดุษฎีนิพนธ์ 2,DISSERTATION SEMINAR II,1,1,1
SC319993,สัมมนาดุษฎีนิพนธ์ 3,DISSERTATION SEMINAR III,1,1,1
SC319996,ดุษฎีนิพนธ์,DISSERTATION,1,48,48
SC319997,ดุษฎีนิพนธ์,DISSERTATION,1,72,72
SC319998,ดุษฎีนิพนธ์,DISSERTATION,1,36,36
SC319999,ดุษฎีนิพนธ์,DISSERTATION,1,48,48
SC337961,การรับรู้จากระยะไกลขั้นสูง,ADVANCED REMOTE SENSING,3,3,3
SC337981,ระบบสารสนเทศภูมิศาสตร์ขั้นสูง,ADVANCED GEOGRAPHIC INFORMATION SYSTEM,3,3,3
SC337991,สัมมนาดุษฎีนิพนธ์ 1,DISSERTATION SEMINAR I,3,3,1
SC337992,สัมมนาดุษฎีนิพนธ์ 2,DISSERTATION SEMINAR II,3,3,1
SC337993,สัมมนาดุษฎีนิพนธ์ 3,DISSERTATION SEMINAR III,3,3,1
SC337996,ดุษฎีนิพนธ์,DISSERTATION,1,48,48
SC337997,ดุษฎีนิพนธ์,DISSERTATION,1,72,72
